"","X1.x","yearID.x","playerID","teamID","lgID.x.x","G_all.x","GS.x.x","G_batting.x","G_defense.x","G_p.x","G_c.x","G_1b.x","G_2b.x","G_3b.x","G_ss.x","G_lf.x","G_cf.x","G_rf.x","G_of.x","G_dh.x","G_ph.x","G_pr.x","stint.x.x","G.x.x","AB.x","R.x","H.x","2B.x","3B.x","HR.x","RBI.x","SB.x.x","CS.x.x","BB.x","SO.x","IBB.x","HBP.x","SH.x","SF.x","GIDP.x","BA.x","1B.x","OPS.x","BAClass.x","OPSClass.x","X1.y","yearID.y","lgID.x.y","G_all.y","GS.x.y","G_batting.y","G_defense.y","G_p.y","G_c.y","G_1b.y","G_2b.y","G_3b.y","G_ss.y","G_lf.y","G_cf.y","G_rf.y","G_of.y","G_dh.y","G_ph.y","G_pr.y","stint.x.y","G.x.y","AB.y","R.y","H.y","2B.y","3B.y","HR.y","RBI.y","SB.x.y","CS.x.y","BB.y","SO.y","IBB.y","HBP.y","SH.y","SF.y","GIDP.y","BA.y","1B.y","OPS.y","BAClass.y","OPSClass.y"
"1",29229,2012,"abreubo01","LAA","AL",8,7,8,7,0,0,0,0,0,0,6,0,1,7,0,0,1,1,8,24,1,5,3,0,0,5,0,0,2,5,0,0,0,1,1,0.208333333333333,2,0.592592592592593,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",29230,2012,"abreubo01","LAN","NL",92,47,92,47,0,0,0,0,0,0,46,0,1,47,4,44,0,2,92,195,28,48,8,1,3,19,6,2,35,51,3,0,0,0,6,0.246153846153846,36,0.704459308807135,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",29231,2012,"abreuto01","KCA","AL",22,18,22,19,0,0,0,11,6,4,0,0,0,0,2,2,1,1,22,70,5,18,2,1,1,15,0,0,2,13,0,1,0,1,1,0.257142857142857,14,0.640926640926641,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",29232,2012,"ackledu01","SEA","AL",153,151,153,147,0,0,11,142,0,0,0,0,0,0,4,2,0,1,153,607,84,137,22,2,12,50,13,3,59,124,7,0,1,1,3,0.225700164744646,101,0.621694918603301,"AvgPoor","AvgPoor",29919,2013,"AL",113,103,113,111,0,0,6,53,0,0,11,50,0,59,1,6,3,1,113,384,40,97,18,2,4,31,2,3,37,72,1,1,4,1,6,0.252604166666667,73,0.660294769503546,"AvgPoor","AvgPoor"
"5",29233,2012,"adamsma01","SLN","NL",27,23,27,24,0,0,24,0,0,0,0,0,0,0,0,3,0,1,27,86,8,21,6,0,2,13,0,0,5,24,0,0,0,0,3,0.244186046511628,13,0.669435215946844,"AvgPoor","AvgPoor",29921,2013,"NL",108,63,108,74,0,0,74,0,0,0,0,0,0,0,0,39,0,1,108,296,46,84,14,0,17,51,0,1,23,80,0,0,0,0,9,0.283783783783784,53,0.838801575870541,"Good","Good"
"6",29234,2012,"allenbr01","OAK","AL",3,2,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,3,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.1,0,0.288888888888889,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",29235,2012,"allenbr01","TBA","AL",7,3,7,3,0,0,0,0,0,0,3,0,0,3,0,4,0,2,7,13,3,2,0,0,1,3,0,0,2,4,0,0,0,0,0,0.153846153846154,1,0.651282051282051,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",29236,2012,"alonsyo01","SDN","NL",155,144,155,149,0,0,149,0,0,0,0,0,0,0,0,9,0,1,155,549,47,150,39,0,9,62,3,0,62,101,9,3,1,4,14,0.273224043715847,102,0.741339063080269,"AvgPoor","AvgPoor",29926,2013,"NL",97,86,97,92,0,0,92,1,1,0,1,0,0,1,0,6,2,1,97,334,34,94,11,0,6,45,6,0,32,47,5,2,0,7,9,0.281437125748503,77,0.709596806387226,"Good","AvgPoor"
"9",29237,2012,"altuvjo01","HOU","NL",147,142,147,147,0,0,0,147,0,0,0,0,0,0,0,2,0,1,147,576,80,167,34,4,7,37,33,11,40,74,0,6,4,4,8,0.289930555555556,122,0.739561146609869,"Good","AvgPoor",29927,2013,"AL",152,152,152,145,0,0,0,145,0,0,0,0,0,0,7,0,0,1,152,626,64,177,31,2,5,52,35,13,32,85,5,2,4,8,24,0.282747603833866,139,0.678488071779763,"Good","AvgPoor"
"10",29238,2012,"alvarpe01","PIT","NL",149,144,149,145,0,0,0,0,145,0,0,0,0,0,1,4,0,1,149,525,64,128,25,1,30,85,1,0,57,180,6,1,0,3,10,0.243809523809524,72,0.784072810011377,"AvgPoor","AvgPoor",29928,2013,"NL",152,149,152,150,0,0,0,0,150,0,0,0,0,0,1,3,0,1,152,558,70,130,22,2,36,100,2,0,48,186,7,4,0,4,16,0.232974910394265,70,0.769535217680642,"AvgPoor","AvgPoor"
