"","X1.x","yearID.x","playerID","teamID.x","lgID.x.x","G_all.x","GS.x.x","G_batting.x","G_defense.x","G_p.x","G_c.x","G_1b.x","G_2b.x","G_3b.x","G_ss.x","G_lf.x","G_cf.x","G_rf.x","G_of.x","G_dh.x","G_ph.x","G_pr.x","stint.x.x","G.x.x","AB.x","R.x","H.x","2B.x","3B.x","HR.x","RBI.x","SB.x.x","CS.x.x","BB.x","SO.x","IBB.x","HBP.x","SH.x","SF.x","GIDP.x","BA.x","1B.x","OPS.x","BAClass.x","OPSClass.x","X1.y","yearID.y","teamID.y","lgID.x.y","G_all.y","GS.x.y","G_batting.y","G_defense.y","G_p.y","G_c.y","G_1b.y","G_2b.y","G_3b.y","G_ss.y","G_lf.y","G_cf.y","G_rf.y","G_of.y","G_dh.y","G_ph.y","G_pr.y","stint.x.y","G.x.y","AB.y","R.y","H.y","2B.y","3B.y","HR.y","RBI.y","SB.x.y","CS.x.y","BB.y","SO.y","IBB.y","HBP.y","SH.y","SF.y","GIDP.y","BA.y","1B.y","OPS.y","BAClass.y","OPSClass.y"
"1",30605,2014,"abreubo01","NYN","NL",78,29,78,31,0,0,0,0,0,0,5,0,26,31,3,46,0,1,78,133,12,33,9,0,1,14,1,0,20,21,0,0,0,2,3,0.24812030075188,23,0.680281348532622,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",30606,2014,"abreujo02","CHA","AL",145,144,145,109,0,0,109,0,0,0,0,0,0,0,35,1,0,1,145,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,0.316546762589928,103,0.963571907747114,"Good","Good",31300,2015,"CHA","AL",154,154,154,115,0,0,115,0,0,0,0,0,0,0,39,0,0,1,154,613,88,178,34,3,30,101,0,0,39,140,11,15,0,1,16,0.290375203915171,111,0.849752371277022,"Good","Good"
"3",30607,2014,"abreuto01","SFN","NL",3,0,3,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0.288888888888889,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",30608,2014,"ackledu01","SEA","AL",143,131,143,133,0,0,0,0,0,0,133,0,0,133,8,7,4,1,143,502,64,123,27,4,14,65,8,4,32,90,1,3,3,2,10,0.245019920318725,78,0.691541810494571,"AvgPoor","AvgPoor",31301,2015,"NYA","AL",23,14,23,17,0,0,4,9,0,0,4,0,0,4,2,9,0,2,23,52,6,15,3,2,4,11,0,0,4,7,0,0,0,1,0,0.288461538461538,6,0.987179487179487,"Good","Good"
"5",30608,2014,"ackledu01","SEA","AL",143,131,143,133,0,0,0,0,0,0,133,0,0,133,8,7,4,1,143,502,64,123,27,4,14,65,8,4,32,90,1,3,3,2,10,0.245019920318725,78,0.691541810494571,"AvgPoor","AvgPoor",31302,2015,"SEA","AL",85,53,85,79,0,0,0,1,0,0,63,21,2,78,2,10,7,1,85,186,22,40,8,1,6,19,2,2,14,38,0,1,3,3,3,0.21505376344086,25,0.635199240986717,"AvgPoor","AvgPoor"
"6",30609,2014,"adamecr01","COL","NL",7,2,7,7,0,0,0,2,0,5,0,0,0,0,0,2,0,1,7,15,1,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0.1,1,0.288888888888889,"AvgPoor","AvgPoor",31303,2015,"COL","NL",26,13,26,15,0,0,0,2,0,13,0,0,0,0,0,11,1,1,26,53,4,13,1,1,0,3,0,1,3,11,1,1,1,0,0,0.245283018867925,11,0.600132406487918,"AvgPoor","AvgPoor"
"7",30610,2014,"adamsla01","KCA","AL",6,0,6,2,0,0,0,0,0,0,2,2,0,2,2,0,4,1,6,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.1,0,0.288888888888889,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",30611,2014,"adamsma01","SLN","NL",142,132,142,133,0,0,133,0,0,0,0,0,0,0,0,10,0,1,142,527,55,152,34,5,15,68,3,2,26,114,5,3,0,7,9,0.28842504743833,98,0.778797509951096,"Good","AvgPoor",31304,2015,"SLN","NL",60,42,60,46,0,0,46,0,0,0,0,0,0,0,0,16,0,1,60,175,14,42,9,0,5,24,1,0,10,41,1,0,0,1,1,0.24,28,0.656712749615975,"AvgPoor","AvgPoor"
"9",30612,2014,"adducji02","TEX","AL",44,26,44,31,0,0,3,0,0,0,20,0,8,28,5,13,2,1,44,101,13,17,3,0,1,8,3,1,10,27,0,0,1,2,2,0.168316831683168,13,0.466660825374573,"AvgPoor","AvgPoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",30613,2014,"adriaeh01","SFN","NL",53,20,53,34,0,0,0,25,3,7,0,0,0,0,0,20,4,1,53,97,10,23,6,0,0,5,1,1,5,22,1,1,2,1,2,0.237113402061856,17,0.577815226011102,"AvgPoor","AvgPoor",31305,2015,"SFN","NL",52,31,52,42,0,0,1,20,1,20,0,0,0,0,0,12,0,1,52,113,11,21,7,1,0,11,3,2,15,20,0,4,2,0,2,0.185840707964602,13,0.56851702869402,"AvgPoor","AvgPoor"
