"","X1.x","yearID.x","playerID","teamID","lgID.x.x","G_all.x","GS.x.x","G_batting.x","G_defense.x","G_p.x","G_c.x","G_1b.x","G_2b.x","G_3b.x","G_ss.x","G_lf.x","G_cf.x","G_rf.x","G_of.x","G_dh.x","G_ph.x","G_pr.x","stint.x.x","G.x.x","AB.x","R.x","H.x","2B.x","3B.x","HR.x","RBI.x","SB.x.x","CS.x.x","BB.x","SO.x","IBB.x","HBP.x","SH.x","SF.x","GIDP.x","BA.x","1B.x","OPS.x","BAClass.x","OPSClass.x","X1.y","yearID.y","lgID.x.y","G_all.y","GS.x.y","G_batting.y","G_defense.y","G_p.y","G_c.y","G_1b.y","G_2b.y","G_3b.y","G_ss.y","G_lf.y","G_cf.y","G_rf.y","G_of.y","G_dh.y","G_ph.y","G_pr.y","stint.x.y","G.x.y","AB.y","R.y","H.y","2B.y","3B.y","HR.y","RBI.y","SB.x.y","CS.x.y","BB.y","SO.y","IBB.y","HBP.y","SH.y","SF.y","GIDP.y","BA.y","1B.y","OPS.y","BAClass.y","OPSClass.y","Improved"
"1",28552,2011,"abreubo01","LAA","AL",142,135,142,28,0,0,0,0,0,0,18,0,10,28,108,7,0,1,142,502,54,127,30,1,8,60,21,5,78,113,5,1,1,3,8,0.252988047808765,88,0.71728155869672,"AvgPoor","AvgPoor",29229,2012,"AL",8,7,8,7,0,0,0,0,0,0,6,0,1,7,0,0,1,1,8,24,1,5,3,0,0,5,0,0,2,5,0,0,0,1,1,0.208333333333333,2,0.592592592592593,"AvgPoor","AvgPoor","No"
"2",28553,2011,"ackledu01","SEA","AL",90,87,90,86,0,0,1,86,0,0,0,0,0,0,2,3,0,1,90,333,39,91,16,7,6,36,6,0,40,79,1,0,0,3,3,0.273273273273273,62,0.765821672736566,"AvgPoor","AvgPoor",29232,2012,"AL",153,151,153,147,0,0,11,142,0,0,0,0,0,0,4,2,0,1,153,607,84,137,22,2,12,50,13,3,59,124,7,0,1,1,3,0.225700164744646,101,0.621694918603301,"AvgPoor","AvgPoor","No"
"3",28557,2011,"allenbr01","OAK","AL",41,40,41,41,0,0,41,0,0,0,0,0,0,0,0,0,0,2,41,146,18,30,9,2,3,11,2,0,11,55,1,0,0,1,0,0.205479452054795,16,0.61565805444772,"AvgPoor","AvgPoor",29234,2012,"AL",3,2,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,3,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.1,0,0.288888888888889,"AvgPoor","AvgPoor","No"
"4",28560,2011,"altuvjo01","HOU","NL",57,51,57,55,0,0,0,55,0,0,0,0,0,0,0,2,2,1,57,221,26,61,10,1,2,12,7,3,5,29,0,2,5,1,5,0.276018099547511,48,0.654409294789464,"AvgPoor","AvgPoor",29237,2012,"NL",147,142,147,147,0,0,0,147,0,0,0,0,0,0,0,2,0,1,147,576,80,167,34,4,7,37,33,11,40,74,0,6,4,4,8,0.289930555555556,122,0.739561146609869,"Good","AvgPoor","No"
"5",28561,2011,"alvarpe01","PIT","NL",74,62,74,66,0,0,0,0,66,0,0,0,0,0,0,10,0,1,74,235,18,45,9,1,4,19,1,0,24,80,1,2,1,0,11,0.191489361702128,31,0.561392353468656,"AvgPoor","AvgPoor",29238,2012,"NL",149,144,149,145,0,0,0,0,145,0,0,0,0,0,1,4,0,1,149,525,64,128,25,1,30,85,1,0,57,180,6,1,0,3,10,0.243809523809524,72,0.784072810011377,"AvgPoor","AvgPoor","No"
"6",28565,2011,"anderla03","BOS","AL",6,0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,3,1,6,5,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.1,0,0.288888888888889,"AvgPoor","AvgPoor",29241,2012,"AL",6,1,6,6,0,0,2,0,0,0,4,0,0,4,0,3,0,1,6,8,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0.125,1,0.288888888888889,"AvgPoor","AvgPoor","No"
"7",28566,2011,"andinro01","BAL","AL",139,126,139,136,0,0,0,94,22,30,3,0,0,3,0,4,1,1,139,457,63,120,22,0,5,36,13,3,41,83,0,3,9,1,14,0.262582056892779,93,0.670238084859686,"AvgPoor","AvgPoor",29242,2012,"AL",127,107,127,126,0,0,0,108,15,2,1,1,0,2,0,6,4,1,127,384,41,81,13,1,7,28,5,5,37,100,0,2,7,1,13,0.2109375,60,0.587706367924528,"AvgPoor","AvgPoor","No"
"8",28567,2011,"andruel01","TEX","AL",150,143,150,147,0,0,0,0,0,147,0,0,0,0,1,6,0,1,150,587,96,164,27,3,5,60,37,12,56,74,0,5,16,1,17,0.2793867120954,129,0.707845643802679,"AvgPoor","AvgPoor",29243,2012,"AL",158,154,158,153,0,0,0,0,0,153,0,0,0,0,4,2,0,1,158,629,85,180,31,9,3,62,21,10,57,96,0,5,17,3,15,0.286168521462639,137,0.727081548407197,"Good","AvgPoor","No"
"9",28569,2011,"ankieri01","WAS","NL",122,90,122,113,0,0,0,0,0,0,0,105,9,113,0,13,2,1,122,380,46,91,20,0,9,37,10,3,29,96,1,2,3,1,7,0.239473684210526,62,0.659274399591211,"AvgPoor","AvgPoor",29244,2012,"NL",68,37,68,62,0,0,0,0,0,0,0,62,0,62,0,13,0,1,68,158,15,36,10,2,5,15,1,3,12,59,3,0,1,0,3,0.227848101265823,19,0.693745346239762,"AvgPoor","AvgPoor","No"
"10",28570,2011,"arencjp01","TOR","AL",129,122,129,122,0,122,0,0,0,0,0,0,0,0,4,3,0,1,129,443,47,97,20,4,23,78,1,1,36,133,3,4,0,3,6,0.218961625282167,50,0.71981625467956,"AvgPoor","AvgPoor",29246,2012,"AL",102,94,102,94,0,94,0,0,0,0,0,0,0,0,4,5,0,1,102,347,45,81,16,0,18,56,1,0,18,108,1,3,1,3,4,0.23342939481268,47,0.710091115996178,"AvgPoor","AvgPoor","No"
